,City,Cloudiness,Country,Date,Humidity,Max Temp,Lat,Lng,Wind Speed
0,lesnoye,100,RU,1579466463,86,36.88,58.28,35.52,12.41
1,tiksi,100,RU,1579466463,85,-3.12,71.69,128.87,8.57
2,dombas,100,NO,1579466463,84,14.85,62.07,9.12,5.32
3,nanortalik,100,GL,1579466221,83,24.04,60.14,-45.24,27.58
4,blythe,1,US,1579466323,15,68.0,33.61,-114.6,10.29
5,albany,90,US,1579466300,55,36.0,42.6,-73.97,21.92
6,upernavik,79,GL,1579466463,82,-15.74,72.79,-56.15,9.17
7,abnub,0,EG,1579466463,66,47.26,27.27,31.15,6.33
8,mataura,100,NZ,1579466464,98,55.99,-46.19,168.86,1.01
9,cisarua,40,ID,1579466464,83,81.0,-6.65,106.47,4.7
10,guatire,98,VE,1579466464,90,80.6,10.48,-66.54,16.11
11,farkhor,100,TJ,1579466464,79,32.0,37.49,69.4,4.47
12,aasiaat,100,GL,1579466464,95,0.39,68.71,-52.87,9.26
13,pangnirtung,40,CA,1579466464,68,-18.4,66.15,-65.71,4.7
14,rikitea,100,PF,1579466464,78,78.12,-23.12,-134.97,13.13
15,atuona,1,PF,1579466465,76,80.56,-9.8,-139.03,15.68
16,hermanus,100,ZA,1579466465,99,69.01,-34.42,19.23,1.99
17,jamestown,90,US,1579466465,85,26.6,42.1,-79.24,18.34
18,coihaique,20,CL,1579466465,43,69.8,-45.58,-72.07,11.41
19,virginia beach,20,US,1579466396,50,57.2,36.85,-75.98,10.29
20,cayenne,75,GF,1579466465,74,82.4,4.93,-52.33,11.41
21,cornwall,90,CA,1579466465,66,17.01,45.02,-74.73,12.75
22,saint-philippe,93,RE,1579466465,78,80.6,-21.36,55.77,5.82
23,subiaco,90,IT,1579466466,57,50.0,41.93,13.09,9.17
24,saint johnsbury,78,US,1579466466,73,23.0,44.42,-72.02,6.73
25,ancud,0,CL,1579466251,52,66.2,-41.87,-73.82,8.05
26,ushuaia,75,AR,1579466466,81,50.0,-54.8,-68.3,38.03
27,qaanaaq,0,GL,1579466248,56,-18.63,77.48,-69.36,6.82
28,lompoc,75,US,1579466346,51,68.0,34.64,-120.46,7.65
29,san cristobal,40,VE,1579466466,48,87.8,7.77,-72.22,25.28
30,busselton,0,AU,1579466466,48,61.0,-33.65,115.33,9.93
31,punta arenas,40,CL,1579466467,47,57.2,-53.15,-70.92,32.21
32,katsuura,0,JP,1579466467,54,39.99,35.13,140.3,5.82
33,puerto ayora,75,EC,1579466467,58,86.0,-0.74,-90.35,14.99
34,nouadhibou,89,MR,1579466237,31,73.4,20.93,-17.03,11.41
35,bluff,100,NZ,1579466467,98,55.99,-46.6,168.33,1.01
36,kapaa,75,US,1579466278,57,75.2,22.08,-159.32,14.99
37,maiduguri,14,NG,1579466467,37,65.37,11.85,13.16,8.88
38,port hardy,90,CA,1579466467,87,46.4,50.7,-127.42,20.8
39,staryy nadym,41,RU,1579466468,91,-9.56,65.61,72.68,12.21
40,timmins,20,CA,1579466359,60,6.8,48.47,-81.33,11.41
41,hobart,75,AU,1579466404,72,60.01,-42.88,147.33,10.29
42,sao joao da barra,75,BR,1579466468,65,80.6,-21.64,-41.05,20.8
43,ulaangom,100,MN,1579466468,95,-9.33,49.98,92.07,2.91
44,ilulissat,85,GL,1579466178,66,10.4,69.22,-51.1,18.34
45,luderitz,0,NA,1579466468,88,64.4,-26.65,15.16,11.41
46,clyde river,20,CA,1579466468,74,-25.6,70.47,-68.59,6.93
47,ponta do sol,40,PT,1579466468,72,62.6,32.67,-17.1,14.99
48,bilibino,100,RU,1579466468,98,-22.11,68.05,166.44,3.24
49,forssa,99,FI,1579466469,93,39.0,60.78,23.6,1.99
50,tateyama,0,JP,1579466188,59,39.99,34.98,139.87,5.82
51,kamenka,99,RU,1579466469,89,28.99,51.32,42.77,3.0
52,cabo san lucas,5,MX,1579466298,60,82.99,22.89,-109.91,8.05
53,hithadhoo,100,MV,1579466469,72,82.98,-0.6,73.08,7.52
54,lyubech,0,UA,1579466469,84,27.18,51.7,30.66,3.49
55,talcahuano,100,CL,1579466469,63,66.2,-36.72,-73.12,11.41
56,owatonna,90,US,1579466307,84,12.0,44.08,-93.23,11.41
57,kangaatsiaq,100,GL,1579466470,76,8.08,68.31,-53.46,2.33
58,vao,9,NC,1579466470,69,75.49,-22.67,167.48,16.17
59,denpasar,20,ID,1579466221,88,80.6,-8.65,115.22,6.93
60,butaritari,0,KI,1579466470,77,84.34,3.07,172.79,10.6
61,hilo,75,US,1579466470,69,75.99,19.73,-155.09,5.82
62,avarua,100,CK,1579466222,88,80.6,-21.21,-159.78,10.29
63,cidreira,26,BR,1579466222,80,75.29,-30.18,-50.21,24.45
64,constitucion,100,CL,1579466470,66,65.93,-35.33,-72.42,4.9
65,arraial do cabo,40,BR,1579466471,69,78.8,-22.97,-42.03,9.17
66,pevek,100,RU,1579466471,96,-1.16,69.7,170.31,6.6
67,fecamp,10,FR,1579466471,86,41.0,49.76,0.37,12.75
68,dudinka,20,RU,1579466471,75,-18.4,69.41,86.18,6.71
69,tiarei,20,PF,1579466471,66,86.0,-17.53,-149.33,8.05
70,rawson,0,AR,1579466426,61,62.83,-43.3,-65.1,13.24
71,norman wells,20,CA,1579466225,69,-13.0,65.28,-126.83,2.24
72,nome,75,US,1579466471,72,10.4,64.5,-165.41,9.17
73,uray,0,RU,1579466472,88,-5.17,60.12,64.78,2.77
74,pochutla,20,MX,1579466472,46,89.6,15.74,-96.47,11.41
75,mapua,74,NZ,1579466472,48,77.0,-41.25,173.1,4.0
76,vila,0,PT,1579466472,56,50.0,42.03,-8.16,9.17
77,chuy,30,UY,1579466231,58,80.89,-33.7,-53.46,7.23
78,lorengau,34,PG,1579466472,75,83.48,-2.02,147.27,16.93
79,warrnambool,100,AU,1579466472,96,60.01,-38.38,142.48,24.09
80,juba,7,SS,1579466472,23,80.26,4.85,31.58,5.12
81,kutina,20,HR,1579466472,95,33.8,45.48,16.78,1.12
82,ledyard,75,US,1579466473,41,42.8,41.44,-72.01,14.99
83,bowen,0,AU,1579466473,94,82.99,-20.02,148.23,3.36
84,sid,90,RS,1579466473,95,35.01,45.13,19.23,1.12
85,touros,20,BR,1579466299,66,84.2,-5.2,-35.46,13.87
86,airai,0,TL,1579466259,72,66.56,-8.93,125.41,5.39
87,kitimat,90,CA,1579466473,85,21.99,54.05,-128.65,3.94
88,longyearbyen,90,SJ,1579466474,79,26.6,78.22,15.64,26.4
89,esperance,0,AU,1579466474,82,55.4,-33.87,121.9,6.93
90,axim,0,GH,1579466474,83,79.65,4.87,-2.24,4.7
91,westport,90,US,1579466474,45,44.6,41.14,-73.36,16.11
92,krasnoselkup,100,RU,1579466474,96,-16.42,65.7,82.47,14.16
93,saskylakh,98,RU,1579466474,99,-23.64,71.92,114.08,2.44
94,edd,0,ER,1579466474,72,75.04,13.93,41.69,3.33
95,okato,0,NZ,1579466474,93,62.01,-39.2,173.88,1.99
96,prince george,20,CA,1579466203,74,39.99,53.92,-122.75,23.04
97,dunda,100,TZ,1579466475,94,66.27,-8.12,34.25,0.34
98,carnarvon,0,AU,1579466475,78,77.0,-24.87,113.63,19.46
99,komsomolskiy,100,UZ,1579466291,68,32.0,40.43,71.72,6.93
100,arawa,66,PG,1579466475,77,81.14,-6.21,155.54,3.94
101,ryotsu,20,JP,1579466475,60,44.6,38.08,138.43,20.8
102,vaini,75,TO,1579466475,88,73.4,-21.2,-175.2,13.87
103,ixtapa,20,MX,1579466475,74,81.0,20.7,-105.2,9.17
104,bredasdorp,100,ZA,1579466475,88,64.4,-34.53,20.04,20.8
105,kozhevnikovo,99,RU,1579466475,87,6.01,56.26,83.97,4.0
106,zalari,95,RU,1579466476,93,-7.49,53.56,102.51,5.23
107,vanavara,100,RU,1579466476,93,1.35,60.34,102.28,10.83
108,saint-augustin,100,CA,1579466476,79,4.78,51.23,-58.65,4.76
109,barrow,90,US,1579466188,84,3.2,71.29,-156.79,9.17
110,ribeira grande,40,PT,1579466476,82,64.4,38.52,-28.7,20.8
111,port alfred,100,ZA,1579466476,78,66.99,-33.59,26.89,5.99
112,san patricio,40,MX,1579466476,66,89.6,19.22,-104.7,11.41
113,atikokan,100,CA,1579466476,90,12.74,48.76,-91.62,4.74
114,huaibei,33,CN,1579466476,82,33.01,33.97,116.79,2.39
115,castro,74,BR,1579466209,78,73.62,-24.79,-50.01,2.89
